"id","province_id","name","status"
"1","20","KABUPATEN ACEH BARAT","1"
"2","20","KABUPATEN ACEH BARAT DAYA","1"
"3","20","KABUPATEN ACEH BESAR","1"
"4","20","KABUPATEN ACEH JAYA","1"
"5","20","KABUPATEN ACEH SELATAN","1"
"6","20","KABUPATEN ACEH SINGKIL","1"
"7","20","KABUPATEN ACEH TAMIANG","1"
"8","20","KABUPATEN ACEH TENGAH","1"
"9","20","KABUPATEN ACEH TENGGARA","1"
"10","20","KABUPATEN ACEH TIMUR","1"
"11","20","KABUPATEN ACEH UTARA","1"
"12","29","KABUPATEN AGAM","1"
"13","22","KABUPATEN ALOR","1"
"14","18","KOTA AMBON","1"
"15","31","KABUPATEN ASAHAN","1"
"16","23","KABUPATEN ASMAT","1"
"17","16","KOTA BATAM","1"
"18","1","KABUPATEN BADUNG","1"
"19","13","KABUPATEN BALANGAN","1"
"20","15","KOTA BALIKPAPAN","1"
"21","20","KOTA BANDA ACEH","1"
"22","17","KOTA BANDAR LAMPUNG","1"
"23","9","KABUPATEN BANDUNG","1"
"24","9","KOTA BANDUNG","1"
"25","26","KABUPATEN BANGGAI","1"
"26","26","KABUPATEN BANGGAI KEPULAUAN","1"
"27","2","KABUPATEN BANGKA","1"
"28","2","KABUPATEN BANGKA BARAT","1"
"29","2","KABUPATEN BANGKA SELATAN","1"
"30","2","BANGKA TENGAH","1"
"31","11","BANGKALAN","1"
"32","1","BANGLI","1"
"33","9","KOTA BANJAR","1"
"34","13","KABUPATEN BANJAR","1"
"35","13","KOTA BANJARBARU","1"
"36","13","KOTA BANJARMASIN","1"
"37","10","KABUPATEN BANJARNEGARA","1"
"38","25","BANTAENG","1"
"39","5","BANTUL","1"
"40","30","BANYU ASIN","1"
"41","10","BANYUMAS","1"
"42","11","BANYUWANGI","1"
"43","13","BARITO KUALA","1"
"44","14","BARITO SELATAN","1"
"45","14","BARITO TIMUR","1"
"46","14","BARITO UTARA","1"
"47","25","BARRU","1"
"48","10","BATANG","1"
"49","8","BATANGHARI","1"
"50","11","KOTA BATU","1"
"51","27","KOTA BAU BAU","1"
"52","9","BEKASI","1"
"53","9","KOTA BEKASI","1"
"54","2","BELITUNG","1"
"55","2","BELITUNG TIMUR","1"
"56","22","BELU","1"
"57","20","BENER MERIAH","1"
"58","24","BENGKALIS","1"
"59","12","BENGKAYANG","1"
"60","4","KOTA BENGKULU","1"
"61","4","BENGKULU SELATAN","1"
"62","4","BENGKULU UTARA","1"
"63","15","BERAU","1"
"64","23","KAB. BIAK NUMFOR","1"
"65","21","BIMA","1"
"66","21","KOTA BIMA","1"
"67","31","BINJAI","1"
"68","20","BIREUEN","1"
"69","28","KOTA BITUNG","1"
"70","11","KOTA BLITAR","1"
"71","11","BLITAR","1"
"72","10","BLORA","1"
"73","7","BOALEMO","1"
"74","9","BOGOR","1"
"75","9","KOTA BOGOR","1"
"76","11","BOJONEGORO","1"
"77","28","BOLAANG MONGONDOW","1"
"78","27","BOMBANA","1"
"79","11","BONDOWOSO","1"
"80","25","BONE","1"
"81","7","BONE BOLANGO","1"
"82","15","KOTA BONTANG","1"
"83","23","BOVEN DIGOEL","1"
"84","10","BOYOLALI","1"
"85","10","BREBES","1"
"86","29","BUKITTINGGI","1"
"87","1","BULELENG","1"
"88","34","BULUNGAN","1"
"89","25","BULUKUMBA","1"
"90","8","BUNGO","1"
"91","26","BUOL","1"
"92","18","BURU","1"
"93","27","BUTON","1"
"94","9","CIAMIS","1"
"95","9","CIANJUR","1"
"96","10","CILACAP","1"
"97","3","KOTA CILEGON","1"
"98","9","KOTA CIMAHI","1"
"99","9","KOTA CIREBON","1"
"100","9","CIREBON","1"
"101","24","KOTA D U M A I","1"
"102","31","DAIRI","1"
"103","31","DELI SERDANG","1"
"104","10","DEMAK","1"
"105","1","KOTA DENPASAR","1"
"106","9","KOTA DEPOK","1"
"107","29","DHARMASRAYA","1"
"108","21","DOMPU","1"
"109","26","DONGGALA","1"
"110","22","ENDE","1"
"111","25","ENREKANG","1"
"112","32","FAKFAK","1"
"113","22","FLORES TIMUR","1"
"114","9","GARUT","1"
"115","20","GAYO LUES","1"
"116","1","GIANYAR","1"
"117","7","GORONTALO","1"
"118","7","KOTA GORONTALO","1"
"119","25","GOWA","1"
"120","11","GRESIK","1"
"121","10","GROBOGAN","1"
"122","5","GUNUNG KIDUL","1"
"123","14","GUNUNG MAS","1"
"124","19","HALMAHERA BARAT","1"
"125","19","HALMAHERA SELATAN","1"
"126","19","HALMAHERA TENGAH","1"
"127","19","HALMAHERA TIMUR","1"
"128","19","HALMAHERA UTARA","1"
"129","13","HULU SUNGAI SELATAN","1"
"130","13","HULU SUNGAI TENGAH","1"
"131","13","HULU SUNGAI UTARA","1"
